HR info ID,Preferred Term,ACRONYM,homepage,OrgTypeID - OrgTypePreferredTerm,FinancialTrackingService ID,Edit Status,IsReplacedBy,Notes
62586,Global Emergency Telecommunications Cluster,ETC,ETCluster.org,447 - United Nations,,,,
61392,Global Environment Facility,GEF,http://www.gefweb.org/,438 - International Organization,,,,
56603,Global Facility for Disaster Reduction and Recovery,GFDRR,www.gfdrr.org,438 - International Organization,,,,
56771,Global Fairness Initiative,GFI,http://www.globalfairness.org/,437 - International NGO,,,,
2118,Global Food Security Cluster,,,443 - Other,,,,
61397,Global Forum on Migration and Development,GFMD,http://www.gfmd.org/,438 - International Organization,,,,
17309,Global Giving,GlobalGiving,http://www.globalgiving.org/,437 - International NGO,,,,
61398,Global Green Growth Institute,GGGI,http://gggi.org/,438 - International Organization,,,,
912,Global Health Cluster,,http://www.who.int/hac/global_health_cluster/en/,443 - Other,,,,
62407,Global Heritage Foundation,GHF,,431 - Academic / Research,,,,
